,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,year
0,ZCTA5 02833,,300,81,,53,,37,,0,,16,,0,,21,,,,,288,0,12,63229.0,321,278,0,278,201,77,44,2833,,,,,,,89.7196261682243,0.0,0.0,inf,27.697841726618705,72.3021582733813,2015
1,ZCTA5 02863,222930.0,7734,876,20410.0,354,6905.0,489,14165.0,107,4545.0,276,7025.0,380,8455.0,155,4910.0,,,,6615,411,267,29108.0,7859,6413,1414,6413,1583,4830,44,2863,28.82467028704422,22.20731707317073,31.392617449664428,23.597560975609756,,,84.17101412393434,5.229672986385036,22.048963043817245,353.5360678925036,75.31576485264307,24.68423514735693,2015
2,ZCTA5 02896,154620.0,5801,1037,28425.0,521,12095.0,742,18900.0,402,7370.0,401,9995.0,117,2250.0,27,630.0,150375.0,2235.0,1655.0,5669,33,62,80677.0,6097,4481,331,4481,3361,1120,44,2896,26.65402516807447,26.00770218228498,22.963286713286713,23.638996138996138,26.525842300229318,67.72727272727273,92.98015417418402,0.5412497949811382,7.386744030350369,1253.7764350453172,24.9944208881946,75.0055791118054,2015
3,ZCTA5 02904,275965.0,13052,1545,30370.0,1800,34670.0,1794,31160.0,798,13120.0,821,12655.0,315,6485.0,276,8090.0,,,,12109,434,154,41233.0,13348,12721,2004,12721,6561,6160,44,2904,21.1435029114312,19.443946188340806,17.083333333333332,16.848591549295776,,,90.71771051842973,3.251423434222355,15.753478500117915,534.7804391217564,48.423866048266646,51.57613395173335,2015
4,ZCTA5 02909,405340.0,16513,1676,37025.0,1377,32500.0,2611,63555.0,810,17515.0,1982,41755.0,844,18165.0,462,6830.0,,,,13101,1779,758,29667.0,17109,14891,3367,14891,4281,10610,44,2909,24.54672076545752,22.772682607271538,23.69774919614148,21.203113941967445,,,76.57373312291776,10.398036121339645,22.610973070982475,342.2631422631423,71.2510912631791,28.7489087368209,2015
5,ZCTA5 02917,142535.0,6440,1161,25340.0,986,18525.0,896,20835.0,441,8385.0,401,7570.0,81,880.0,141,2290.0,,,,5728,24,71,70258.0,6660,4299,155,4299,3400,899,44,2917,22.132763975155278,20.43083372147182,21.8548990276739,17.53112033195021,,,86.006006006006,0.36036036036036034,3.6054896487555244,2673.548387096774,20.911839962782043,79.08816003721796,2015
6,ZCTA5 02802,,554,102,,54,,80,,75,,54,,13,,32,,13150.0,-666666666.0,-666666666.0,554,0,0,48495.0,554,424,15,424,165,259,44,2802,,,,,23.736462093862816,-inf,100.0,0.0,3.5377358490566038,2726.6666666666665,61.08490566037735,38.91509433962264,2015
7,ZCTA5 02826,,301,130,,0,,0,,0,,0,,17,,0,,,,,301,0,0,,301,328,16,328,265,63,44,2826,,,,,,,100.0,0.0,4.878048780487805,1950.0,19.20731707317073,80.79268292682927,2015
8,ZCTA5 02841,,709,157,,51,,52,,0,,5,,0,,0,,5885.0,520.0,470.0,274,13,81,-666666666.0,1163,0,0,0,0,0,44,2841,,,,,21.478102189781023,40.0,23.559759243336202,1.117798796216681,,,,,2015
9,ZCTA5 02872,,104,11,,0,,0,,52,,0,,0,,0,,,,,93,11,0,,104,120,0,120,120,0,44,2872,,,,,,,89.42307692307693,10.576923076923077,0.0,inf,0.0,100.0,2015
10,ZCTA5 02873,,176,24,,0,,0,,0,,22,,0,,0,,5045.0,-666666666.0,-666666666.0,176,0,0,71296.0,176,123,0,123,99,24,44,2873,,,,,28.664772727272727,-inf,100.0,0.0,0.0,inf,19.51219512195122,80.48780487804879,2015
11,ZCTA5 02876,,202,35,,64,,18,,0,,0,,0,,0,,6200.0,-666666666.0,-666666666.0,202,0,0,,202,138,0,138,49,89,44,2876,,,,,30.693069306930692,-inf,100.0,0.0,0.0,inf,64.4927536231884,35.507246376811594,2015
12,ZCTA5 02912,,506,8,,27,,35,,13,,20,,42,,15,,,,,106,22,11,-666666666.0,568,0,0,0,0,0,44,2912,,,,,,,18.661971830985916,3.873239436619718,,,,,2015
13,ZCTA5 02808,,1237,101,,133,,127,,91,,23,,14,,67,,,,,1237,0,0,68958.0,1275,825,57,825,720,105,44,2808,,,,,,,97.01960784313725,0.0,6.909090909090909,1347.3684210526314,12.727272727272727,87.27272727272727,2015
