"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","zip code tabulation area"
"ZCTA5 02833","","300","81","","53","","37","","0","","16","","0","","21","","","","","288","0","12","63229","321","278","0","278","201","77","625","625","0","0","0","0","625","0","0","0","0","44","02833"
"ZCTA5 02863","222930","7734","876","20410","354","6905","489","14165","107","4545","276","7025","380","8455","155","4910","","","","6615","411","267","29108","7859","6413","1414","6413","1583","4830","19378","10438","3974","162","29","765","10917","4311","454","58","21","44","02863"
"ZCTA5 02896","154620","5801","1037","28425","521","12095","742","18900","402","7370","401","9995","117","2250","27","630","150375","2235","1655","5669","33","62","80677","6097","4481","331","4481","3361","1120","11908","11751","35","6","75","40","11778","40","6","110","0","44","02896"
"ZCTA5 02904","275965","13052","1545","30370","1800","34670","1794","31160","798","13120","821","12655","315","6485","276","8090","","","","12109","434","154","41233","13348","12721","2004","12721","6561","6160","29467","20251","4458","42","809","1146","20732","5341","291","963","317","44","02904"
"ZCTA5 02909","405340","16513","1676","37025","1377","32500","2611","63555","810","17515","1982","41755","844","18165","462","6830","","","","13101","1779","758","29667","17109","14891","3367","14891","4281","10610","43243","17509","5222","570","2666","1684","18501","6248","1102","2810","104","44","02909"
"ZCTA5 02917","142535","6440","1161","25340","986","18525","896","20835","441","8385","401","7570","81","880","141","2290","","","","5728","24","71","70258","6660","4299","155","4299","3400","899","14017","13100","172","69","423","163","13209","255","111","470","41","44","02917"
"ZCTA5 02802","","554","102","","54","","80","","75","","54","","13","","32","","13150","-666666666","-666666666","554","0","0","48495","554","424","15","424","165","259","1079","1005","0","0","0","0","1005","0","0","0","0","44","02802"
"ZCTA5 02826","","301","130","","0","","0","","0","","0","","17","","0","","","","","301","0","0","","301","328","16","328","265","63","690","690","0","0","0","0","690","0","0","0","0","44","02826"
"ZCTA5 02841","","709","157","","51","","52","","0","","5","","0","","0","","5885","520","470","274","13","81","-666666666","1163","0","0","0","0","0","1293","1012","160","0","70","51","1062","188","1","101","0","44","02841"
"ZCTA5 02872","","104","11","","0","","0","","52","","0","","0","","0","","","","","93","11","0","","104","120","0","120","120","0","234","234","0","0","0","0","234","0","0","0","0","44","02872"
"ZCTA5 02873","","176","24","","0","","0","","0","","22","","0","","0","","5045","-666666666","-666666666","176","0","0","71296","176","123","0","123","99","24","218","218","0","0","0","0","218","0","0","0","0","44","02873"
"ZCTA5 02876","","202","35","","64","","18","","0","","0","","0","","0","","6200","-666666666","-666666666","202","0","0","","202","138","0","138","49","89","251","251","0","0","0","0","251","0","0","0","0","44","02876"
"ZCTA5 02912","","506","8","","27","","35","","13","","20","","42","","15","","","","","106","22","11","-666666666","568","0","0","0","0","0","1538","1159","97","0","175","43","1196","103","3","209","20","44","02912"
"ZCTA5 02808","","1237","101","","133","","127","","91","","23","","14","","67","","","","","1237","0","0","68958","1275","825","57","825","720","105","2228","1989","173","53","0","0","1989","173","53","0","0","44","02808"
"ZCTA5 02812","","847","237","","15","","134","","79","","37","","13","","0","","","","","814","18","15","112901","892","497","0","497","481","16","1669","1519","126","0","24","0","1519","126","0","24","0","44","02812"
"ZCTA5 02818","200100","8440","1261","32790","1377","35005","1149","23265","902","15800","552","8850","348","4940","93","2305","182480","9835","6950","8001","170","98","84409","8891","7458","450","7458","5603","1855","18065","16824","231","43","508","421","17245","400","197","598","0","44","02818"
"ZCTA5 02825","96215","2803","475","17940","219","6405","371","12480","106","2385","142","3465","88","3210","52","1330","","","","2780","15","0","76408","2897","1957","20","1957","1630","327","5235","5017","28","0","6","184","5201","128","161","6","0","44","02825"
