"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","zip code tabulation area"
"ZCTA5 02904","310085","13345","2107","40700","1945","42390","1405","36215","577","10070","788","17395","104","4380","361","6435","273575","29815","3840","12372","447","188","44269","13789","12591","2140","5273","3725","1007","446","12591","5964","6627","30613","19801","5832","68","696","1375","20689","6865","326","999","216","44","02904"
"ZCTA5 02909","404440","17372","2450","56790","1752","35670","3222","70965","632","13395","1447","28605","594","9345","557","12240","","","","15396","792","261","42041","18113","14167","2622","6479","3944","856","266","14167","4571","9596","40809","19409","6272","504","1819","1686","20262","7146","1074","2160","232","44","02909"
"ZCTA5 02917","135890","6293","999","24120","932","17420","500","10775","304","6560","406","6055","262","4680","71","790","","","","5592","10","77","83516","6528","4687","255","1544","1817","780","291","4687","3624","1063","14139","12920","306","13","509","289","13185","399","87","572","38","44","02917"
"ZCTA5 02802","","350","26","","15","","63","","0","","19","","76","","29","","9755","-666666666","-666666666","350","0","0","69321","350","253","12","135","78","14","14","253","74","179","723","620","0","0","0","0","620","0","0","0","0","44","02802"
"ZCTA5 02826","","254","61","","44","","0","","0","","0","","0","","0","","","","","222","0","0","91964","254","178","30","14","9","98","27","178","155","23","418","418","0","0","0","0","418","0","0","0","0","44","02826"
"ZCTA5 02841","","894","157","","51","","65","","0","","10","","0","","0","","","","","160","0","71","-666666666","1565","0","0","0","0","0","0","0","0","0","1633","1297","143","0","73","91","1388","176","25","106","0","44","02841"
"ZCTA5 02872","","70","21","","14","","16","","0","","0","","0","","0","","825","-666666666","-666666666","70","0","0","-666666666","103","132","46","49","21","16","0","132","116","16","244","244","0","0","0","0","244","0","0","0","0","44","02872"
"ZCTA5 02873","","159","0","","36","","37","","0","","0","","0","","0","","5125","-666666666","-666666666","159","0","0","108750","159","106","0","53","53","0","0","106","106","0","200","200","0","0","0","0","200","0","0","0","0","44","02873"
"ZCTA5 02876","","148","0","","0","","63","","0","","25","","0","","16","","4725","-666666666","-666666666","148","0","0","-666666666","148","219","0","194","25","0","0","219","84","135","353","330","0","0","0","23","353","23","0","0","0","44","02876"
"ZCTA5 02912","","459","12","","3","","21","","23","","15","","33","","2","","","","","140","13","11","-666666666","539","0","0","0","0","0","0","0","0","0","1340","957","73","0","211","64","1004","104","18","230","4","44","02912"
"ZCTA5 02808","","1083","284","","34","","125","","122","","104","","22","","20","","","","","1059","0","24","74500","1083","764","0","222","240","264","38","764","540","224","2312","2220","61","0","0","0","2220","61","0","0","0","44","02808"
"ZCTA5 02812","","608","100","","79","","108","","0","","18","","0","","0","","","","","608","0","0","113221","634","403","0","113","178","78","34","403","374","29","1207","1087","88","0","0","32","1119","120","0","0","0","44","02812"
"ZCTA5 02818","220295","8470","1410","39580","1628","41885","1281","30015","681","12580","538","11705","166","4045","62","1285","209355","8315","1815","8186","130","59","102621","9023","7599","554","2007","3509","1079","450","7599","5611","1988","18292","16493","192","141","815","526","16989","370","340","985","38","44","02818"
"ZCTA5 02825","","3136","604","","261","","245","","54","","191","","9","","79","","","","","3045","45","8","87829","3329","2031","49","333","829","502","318","2031","1734","297","5768","5530","26","0","13","199","5729","59","104","75","0","44","02825"
"ZCTA5 02827","42105","1216","188","7130","128","4580","115","2930","39","1210","44","1025","63","2040","43","835","","","","1176","0","16","82946","1229","857","4","101","380","295","77","857","838","19","2202","2151","9","0","25","17","2161","26","0","25","0","44","02827"
