,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
0,"Census Tract 145.01, Providence County, Rhode Island",,2638,319,,441,,457,,192,,309,,66,,11,,2607,11,20,114444,2766,1638,30,288,710,397,213,1638,1610,28,5101,4772,205,0,109,0,4772,205,0,109,0,44,7,14501,,,,,94.25162689804772,0.39768618944323936,1.8315018315018317,5360.0,1.7094017094017095,98.29059829059828,93.55028425798862,6.449715742011371,2015
1,"Census Tract 155, Providence County, Rhode Island",,1876,131,,329,,214,,64,,34,,35,,13,,1722,72,0,49407,1926,1470,164,551,535,196,24,1470,798,672,4111,2892,418,5,63,159,3034,558,24,63,0,44,7,15500,,,,,89.40809968847351,3.7383177570093453,11.156462585034014,796.3414634146342,45.714285714285715,54.285714285714285,70.34784723911457,29.652152760885432,2015
2,"Census Tract 159, Providence County, Rhode Island",,1662,121,,279,,73,,91,,66,,16,,5,,1526,40,0,58125,1728,1244,84,511,442,143,64,1244,474,770,3429,2288,746,12,0,142,2376,810,36,54,0,44,7,15900,,,,,88.31018518518519,2.314814814814815,6.752411575562702,1380.952380952381,61.89710610932476,38.10289389067524,66.72499270924467,33.27500729075532,2015
3,"Census Tract 2, Providence County, Rhode Island",,2195,356,,34,,308,,95,,183,,144,,24,,1677,346,26,22875,2281,2057,544,1011,453,49,0,2057,436,1621,6651,2053,1542,153,348,374,2409,1806,172,366,29,44,7,200,,,,,73.52038579570363,15.168785620341954,26.446280991735538,278.125,78.80408361691784,21.195916383082157,30.867538715982555,69.13246128401744,2015
4,"Census Tract 3, Providence County, Rhode Island",,2696,213,,454,,392,,207,,199,,63,,0,,2323,259,87,29130,2730,2081,466,1030,401,166,18,2081,527,1554,6165,2260,1308,210,107,115,2375,1357,210,108,0,44,7,300,,,,,85.0915750915751,9.487179487179487,22.393080249879866,346.5665236051502,74.67563671311869,25.324363286881308,36.658556366585564,63.34144363341444,2015
5,"Census Tract 184, Providence County, Rhode Island",55520.0,2499,515,11035.0,222,4445.0,252,5065.0,91,2095.0,103,1650.0,78,1250.0,0,-666666666.0,2434,53,0,52391,2536,2564,457,957,805,284,61,2564,1452,1112,5587,4498,464,44,465,114,4584,499,82,482,0,44,7,18400,22.216886754701882,21.00407055630936,20.87463556851312,16.022099447513813,95.97791798107255,2.089905362776025,17.82371294851794,461.0503282275711,43.36973478939157,56.63026521060842,80.50832289242885,19.49167710757115,2015
6,"Census Tract 176, Providence County, Rhode Island",,1006,73,,52,,130,,4,,100,,19,,24,,882,32,45,34573,1028,978,168,406,308,65,31,978,241,737,2698,1682,487,18,240,111,1782,583,27,240,0,44,7,17600,,,,,85.7976653696498,3.11284046692607,17.177914110429448,482.1428571428571,75.35787321063395,24.642126789366053,62.34247590808006,37.65752409191994,2015
7,"Census Tract 177, Providence County, Rhode Island",,1920,105,,231,,152,,91,,213,,82,,14,,1803,28,75,58182,1935,1486,40,532,743,106,65,1486,1059,427,3744,3144,149,0,366,37,3181,159,0,393,0,44,7,17700,,,,,93.1782945736434,1.4470284237726097,2.6917900403768504,3615.0,28.734858681022878,71.26514131897711,83.97435897435898,16.025641025641026,2015
8,"Census Tract 183, Providence County, Rhode Island",,740,19,,51,,86,,15,,28,,44,,0,,668,9,41,27204,769,739,156,383,115,67,18,739,115,624,1954,1522,284,0,22,122,1644,401,0,22,0,44,7,18300,,,,,86.86605981794538,1.1703511053315996,21.10960757780785,373.71794871794873,84.4384303112314,15.561569688768607,77.89150460593655,22.10849539406346,2015
9,"Census Tract 1.02, Providence County, Rhode Island",49055.0,2061,112,3595.0,276,7290.0,270,3285.0,86,1715.0,133,2150.0,55,390.0,0,-666666666.0,1881,174,0,34297,2180,1702,169,896,556,66,15,1702,966,736,4922,1913,979,48,571,181,1986,1151,84,571,24,44,7,102,23.801552644347403,28.054123711340207,14.044943820224718,13.51063829787234,86.28440366972477,7.9816513761467895,9.929494712103407,907.1005917159763,43.24324324324324,56.75675675675676,38.86631450629825,61.13368549370175,2015
