"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 1.01, Providence County, Rhode Island","","2003","169","","327","","97","","147","","222","","68","","0","","1696","123","23","44444","2158","1212","113","480","422","146","51","1212","675","537","5052","2165","838","56","333","198","2281","946","120","345","21","44","007","000101"
"Census Tract 1.02, Providence County, Rhode Island","","2244","291","","226","","191","","156","","97","","40","","96","","1995","143","21","39853","2276","1834","243","747","674","149","21","1834","1060","774","4854","1333","1308","76","186","122","1384","1407","104","209","0","44","007","000102"
"Census Tract 2, Providence County, Rhode Island","","2277","310","","320","","233","","111","","163","","27","","68","","2054","99","0","28750","2397","2010","410","1076","481","43","0","2010","621","1389","5874","1149","869","9","468","106","1255","941","9","509","0","44","007","000200"
"Census Tract 3, Providence County, Rhode Island","","2693","638","","280","","240","","70","","262","","60","","15","","2251","339","34","31436","2790","2210","455","942","568","213","32","2210","479","1731","7377","1941","1140","87","578","411","2135","1379","232","680","152","44","007","000300"
"Census Tract 4, Providence County, Rhode Island","","1363","199","","106","","163","","47","","76","","29","","21","","1201","96","27","24484","1384","1133","238","572","246","56","21","1133","287","846","4367","958","1045","44","156","86","1007","1108","58","179","0","44","007","000400"
"Census Tract 5, Providence County, Rhode Island","","916","97","","55","","133","","16","","28","","26","","11","","841","75","0","21000","916","930","282","377","223","48","0","930","309","621","2976","371","1058","19","8","75","387","1133","78","8","0","44","007","000500"
"Census Tract 6, Providence County, Rhode Island","","514","61","","6","","12","","69","","21","","0","","0","","389","39","0","31071","565","438","93","224","96","13","12","438","163","275","1994","923","418","41","94","115","977","479","54","106","0","44","007","000600"
"Census Tract 7, Providence County, Rhode Island","","378","55","","38","","64","","37","","7","","0","","16","","319","13","19","13168","409","1039","465","484","71","19","0","1039","139","900","2370","490","393","100","75","128","580","510","112","75","0","44","007","000700"
"Census Tract 8, Providence County, Rhode Island","","1125","110","","61","","174","","51","","112","","88","","26","","684","111","26","13703","1197","1552","887","506","151","0","8","1552","17","1535","3619","2492","324","40","333","172","2613","423","95","377","0","44","007","000800"
"Census Tract 9, Providence County, Rhode Island","","1189","137","","91","","100","","44","","45","","120","","17","","782","206","0","23636","1211","1012","432","365","182","33","0","1012","119","893","2598","1447","280","14","357","159","1582","364","84","394","0","44","007","000900"
"Census Tract 10, Providence County, Rhode Island","","990","188","","91","","89","","0","","127","","35","","0","","739","169","0","19801","990","1152","384","619","117","15","17","1152","106","1046","2309","832","406","41","131","134","966","491","49","131","0","44","007","001000"
"Census Tract 11, Providence County, Rhode Island","","1227","56","","153","","223","","153","","104","","44","","17","","904","153","10","39412","1317","1026","228","497","142","103","56","1026","314","712","2370","1528","79","0","84","167","1601","177","52","145","0","44","007","001100"
"Census Tract 12, Providence County, Rhode Island","","951","109","","100","","143","","17","","147","","32","","0","","738","147","21","20403","963","1044","315","508","192","22","7","1044","119","925","2598","691","502","122","4","56","723","536","132","4","0","44","007","001200"
"Census Tract 13, Providence County, Rhode Island","","1972","47","","226","","139","","92","","227","","108","","29","","1643","105","26","45741","2007","1442","277","646","332","135","52","1442","445","997","4287","1622","230","80","906","176","1728","352","134","945","0","44","007","001300"
"Census Tract 14, Providence County, Rhode Island","","2198","156","","91","","154","","85","","273","","4","","0","","1946","118","39","26786","2416","1990","395","875","537","131","52","1990","405","1585","7124","1267","1091","18","985","328","1517","1237","65","985","0","44","007","001400"
"Census Tract 15, Providence County, Rhode Island","","1358","144","","213","","123","","98","","73","","94","","71","","1222","101","28","50871","1363","1031","78","409","403","77","64","1031","597","434","3033","1136","553","122","391","37","1154","590","131","407","0","44","007","001500"
"Census Tract 16, Providence County, Rhode Island","","3385","599","","259","","344","","3","","168","","130","","55","","2806","471","39","34430","3429","2355","543","964","664","130","54","2355","666","1689","8044","2450","849","0","409","250","2557","917","53","502","0","44","007","001600"
"Census Tract 17, Providence County, Rhode Island","","1362","181","","127","","147","","82","","45","","59","","0","","1248","60","0","39194","1388","1276","168","617","368","21","102","1276","603","673","4005","1719","419","0","54","282","1968","471","23","66","20","44","007","001700"
"Census Tract 18, Providence County, Rhode Island","","2352","196","","106","","69","","28","","100","","102","","0","","2114","196","14","35427","2367","2174","330","915","804","125","0","2174","892","1282","7008","2216","845","55","793","472","2645","904","303","793","0","44","007","001800"
"Census Tract 19, Providence County, Rhode Island","","2224","378","","88","","218","","59","","65","","66","","42","","1763","312","0","32795","2263","1719","412","812","399","71","25","1719","412","1307","5054","1073","848","141","280","656","1553","1504","491","280","0","44","007","001900"
"Census Tract 20, Providence County, Rhode Island","","2486","257","","329","","244","","99","","170","","90","","67","","2165","131","22","26282","2584","2011","504","833","455","147","72","2011","697","1314","6214","3283","1329","0","135","246","3467","1447","86","147","13","44","007","002000"
"Census Tract 21.01, Providence County, Rhode Island","","1164","163","","129","","201","","0","","91","","23","","45","","1106","58","0","44971","1347","999","87","423","379","88","22","999","615","384","2704","1219","759","47","0","55","1244","789","102","0","0","44","007","002101"
"Census Tract 21.02, Providence County, Rhode Island","","2108","96","","359","","198","","79","","84","","18","","60","","2052","11","13","38750","2210","1691","223","700","417","237","114","1691","867","824","5064","2743","1085","0","0","134","2790","1189","76","0","0","44","007","002102"
