"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 145.01, Providence County, Rhode Island","","2638","319","","441","","457","","192","","309","","66","","11","","","","","2607","11","20","114444","44","007","014501"
"Census Tract 155, Providence County, Rhode Island","","1876","131","","329","","214","","64","","34","","35","","13","","40350","2815","-666666666","1722","72","0","49407","44","007","015500"
"Census Tract 159, Providence County, Rhode Island","","1662","121","","279","","73","","91","","66","","16","","5","","","","","1526","40","0","58125","44","007","015900"
"Census Tract 2, Providence County, Rhode Island","","2195","356","","34","","308","","95","","183","","144","","24","","","","","1677","346","26","22875","44","007","000200"
"Census Tract 3, Providence County, Rhode Island","","2696","213","","454","","392","","207","","199","","63","","0","","","","","2323","259","87","29130","44","007","000300"
"Census Tract 184, Providence County, Rhode Island","55520","2499","515","11035","222","4445","252","5065","91","2095","103","1650","78","1250","0","-666666666","","","","2434","53","0","52391","44","007","018400"
"Census Tract 176, Providence County, Rhode Island","","1006","73","","52","","130","","4","","100","","19","","24","","25595","1040","1125","882","32","45","34573","44","007","017600"
"Census Tract 177, Providence County, Rhode Island","","1920","105","","231","","152","","91","","213","","82","","14","","","","","1803","28","75","58182","44","007","017700"
"Census Tract 183, Providence County, Rhode Island","","740","19","","51","","86","","15","","28","","44","","0","","","","","668","9","41","27204","44","007","018300"
"Census Tract 1.02, Providence County, Rhode Island","49055","2061","112","3595","276","7290","270","3285","86","1715","133","2150","55","390","0","-666666666","","","","1881","174","0","34297","44","007","000102"
"Census Tract 6, Providence County, Rhode Island","","530","39","","89","","76","","20","","20","","25","","10","","","","","370","66","13","25556","44","007","000600"
"Census Tract 7, Providence County, Rhode Island","","762","113","","39","","43","","50","","34","","17","","17","","","","","581","92","19","15259","44","007","000700"
"Census Tract 12, Providence County, Rhode Island","","1212","163","","72","","213","","34","","101","","75","","11","","","","","880","136","87","21118","44","007","001200"
"Census Tract 14, Providence County, Rhode Island","","2867","252","","88","","312","","242","","157","","80","","34","","","","","2498","281","39","42232","44","007","001400"
"Census Tract 23, Providence County, Rhode Island","","2363","283","","323","","229","","330","","158","","129","","73","","","","","2064","108","41","49578","44","007","002300"
"Census Tract 26, Providence County, Rhode Island","","1131","160","","111","","249","","0","","38","","56","","10","","","","","1023","80","0","24234","44","007","002600"
"Census Tract 36.02, Providence County, Rhode Island","","2033","62","","106","","173","","96","","275","","172","","136","","13145","2115","425","562","55","18","79167","44","007","003602"
"Census Tract 108, Providence County, Rhode Island","","1814","224","","49","","109","","27","","56","","110","","30","","","","","1487","156","33","25377","44","007","010800"
"Census Tract 113.02, Providence County, Rhode Island","","2403","298","","398","","297","","253","","185","","17","","32","","54420","4230","420","2227","41","47","95234","44","007","011302"
"Census Tract 117.01, Providence County, Rhode Island","","2104","321","","311","","288","","76","","157","","38","","61","","","","","2014","45","45","47841","44","007","011701"
