,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,county,tract,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year
0,"Census Tract 27, Providence County, Rhode Island",47650.0,1671,328,10245.0,101,1725.0,116,2540.0,78,1350.0,132,2580.0,47,1000.0,51,1095.0,1196,146,46,30307,1760,1563,363,712,393,55,40,1563,381,1182,6068,3505,1220,6,180,456,3809,1364,297,209,0,44,7,2700,28.515858767205266,27.902097902097903,20.051546391752577,20.0,67.95454545454545,8.295454545454547,23.224568138195778,330.57851239669424,75.62380038387715,24.37619961612284,57.76203032300593,42.23796967699407,2019
1,"Census Tract 109, Providence County, Rhode Island",,1795,128,,61,,310,,75,,100,,65,,22,,1580,125,28,32757,1795,1422,349,702,233,80,58,1422,262,1160,5019,2850,656,86,26,553,3116,847,183,290,38,44,7,10900,,,,,88.02228412256268,6.963788300835655,24.542897327707454,307.4498567335243,81.57524613220815,18.424753867791843,56.784219964136284,43.215780035863716,2019
2,"Census Tract 111, Providence County, Rhode Island",,1662,252,,183,,206,,23,,66,,9,,9,,1414,47,0,29744,1677,1258,355,589,256,32,26,1258,290,968,3895,1058,619,0,12,174,1149,714,26,62,132,44,7,11100,,,,,84.31723315444246,2.802623732856291,28.21939586645469,254.36619718309862,76.94753577106518,23.052464228934817,27.16302952503209,72.83697047496791,2019
3,"Census Tract 122, Providence County, Rhode Island",,3671,678,,552,,761,,164,,243,,45,,10,,3624,0,32,98539,3842,2635,183,566,1067,592,227,2635,1953,682,7427,6672,0,0,665,90,6762,56,42,699,0,44,7,12200,,,,,94.32587194169703,0.0,6.944971537001897,1339.8907103825136,25.882352941176475,74.11764705882354,89.83438804362461,10.165611956375386,2019
4,"Census Tract 126.02, Providence County, Rhode Island",,3670,650,,549,,304,,113,,334,,176,,41,,3628,0,42,76623,3719,3284,229,1181,1203,436,235,3284,2471,813,7547,7201,26,0,157,123,7324,109,22,157,18,44,7,12602,,,,,97.55310567356817,0.0,6.973203410475031,1334.061135371179,24.756394640682096,75.2436053593179,95.41539684642905,4.5846031535709555,2019
5,"Census Tract 147, Providence County, Rhode Island",,3340,574,,387,,381,,150,,241,,113,,20,,2938,373,29,41830,3387,2944,516,1295,752,258,123,2944,1206,1738,7919,5709,634,108,428,584,5948,1061,108,445,28,44,7,14700,,,,,86.74343076468851,11.01269560082669,17.527173913043477,470.5426356589148,59.035326086956516,40.96467391304348,72.09243591362545,27.907564086374542,2019
6,"Census Tract 150, Providence County, Rhode Island",,2564,475,,171,,373,,138,,243,,65,,53,,2422,30,0,62946,2570,1633,107,622,651,182,71,1633,1061,572,4597,2811,1005,0,121,276,2983,1198,70,152,0,44,7,15000,,,,,94.24124513618676,1.1673151750972763,6.552357624004899,1426.1682242990653,35.02755664421311,64.9724433557869,61.14857515771155,38.85142484228845,2019
7,"Census Tract 156, Providence County, Rhode Island",,1284,95,,257,,62,,75,,90,,6,,44,,1206,49,0,54375,1284,913,167,375,236,57,78,913,432,481,2125,1633,200,0,36,227,1778,358,68,36,32,44,7,15600,,,,,93.92523364485982,3.8161993769470404,18.29134720700986,446.70658682634735,52.68346111719606,47.31653888280395,76.84705882352941,23.152941176470588,2019
8,"Census Tract 164, Providence County, Rhode Island",49045.0,1963,263,6680.0,191,4145.0,207,6795.0,119,1975.0,180,5130.0,67,660.0,0,-666666666.0,1868,77,0,37566,1963,1670,200,984,346,111,29,1670,534,1136,4214,1569,1341,0,76,481,1877,1796,98,76,0,44,7,16400,24.984717269485483,23.84361233480176,26.901840490797547,23.441295546558706,95.16046867040244,3.922567498726439,11.976047904191617,735.0,68.02395209580838,31.976047904191617,37.23303274798291,62.76696725201708,2019
9,"Census Tract 166, Providence County, Rhode Island",,948,162,,95,,102,,20,,24,,26,,0,,900,29,0,52907,948,662,37,332,202,72,19,662,263,399,1848,1020,418,48,11,41,1045,434,48,11,0,44,7,16600,,,,,94.9367088607595,3.059071729957806,5.589123867069486,1689.1891891891892,60.27190332326284,39.72809667673716,55.1948051948052,44.8051948051948,2019
