"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","B08006_001E","B08201_001E","B08201_002E","B08201_003E","B08201_004E","B08201_005E","B08201_006E","B25003_001E","B25003_002E","B25003_003E","B02001_001E","B02001_002E","B02001_003E","B02001_004E","B02001_005E","B02001_008E","B02008_001E","B02009_001E","B02010_001E","B02011_001E","B02012_001E","state","county","tract"
"Census Tract 27, Providence County, Rhode Island","47650","1671","328","10245","101","1725","116","2540","78","1350","132","2580","47","1000","51","1095","1196","146","46","30307","1760","1563","363","712","393","55","40","1563","381","1182","6068","3505","1220","6","180","456","3809","1364","297","209","0","44","007","002700"
"Census Tract 109, Providence County, Rhode Island","","1795","128","","61","","310","","75","","100","","65","","22","","1580","125","28","32757","1795","1422","349","702","233","80","58","1422","262","1160","5019","2850","656","86","26","553","3116","847","183","290","38","44","007","010900"
"Census Tract 111, Providence County, Rhode Island","","1662","252","","183","","206","","23","","66","","9","","9","","1414","47","0","29744","1677","1258","355","589","256","32","26","1258","290","968","3895","1058","619","0","12","174","1149","714","26","62","132","44","007","011100"
"Census Tract 122, Providence County, Rhode Island","","3671","678","","552","","761","","164","","243","","45","","10","","3624","0","32","98539","3842","2635","183","566","1067","592","227","2635","1953","682","7427","6672","0","0","665","90","6762","56","42","699","0","44","007","012200"
"Census Tract 126.02, Providence County, Rhode Island","","3670","650","","549","","304","","113","","334","","176","","41","","3628","0","42","76623","3719","3284","229","1181","1203","436","235","3284","2471","813","7547","7201","26","0","157","123","7324","109","22","157","18","44","007","012602"
"Census Tract 147, Providence County, Rhode Island","","3340","574","","387","","381","","150","","241","","113","","20","","2938","373","29","41830","3387","2944","516","1295","752","258","123","2944","1206","1738","7919","5709","634","108","428","584","5948","1061","108","445","28","44","007","014700"
"Census Tract 150, Providence County, Rhode Island","","2564","475","","171","","373","","138","","243","","65","","53","","2422","30","0","62946","2570","1633","107","622","651","182","71","1633","1061","572","4597","2811","1005","0","121","276","2983","1198","70","152","0","44","007","015000"
"Census Tract 156, Providence County, Rhode Island","","1284","95","","257","","62","","75","","90","","6","","44","","1206","49","0","54375","1284","913","167","375","236","57","78","913","432","481","2125","1633","200","0","36","227","1778","358","68","36","32","44","007","015600"
"Census Tract 164, Providence County, Rhode Island","49045","1963","263","6680","191","4145","207","6795","119","1975","180","5130","67","660","0","-666666666","1868","77","0","37566","1963","1670","200","984","346","111","29","1670","534","1136","4214","1569","1341","0","76","481","1877","1796","98","76","0","44","007","016400"
"Census Tract 166, Providence County, Rhode Island","","948","162","","95","","102","","20","","24","","26","","0","","900","29","0","52907","948","662","37","332","202","72","19","662","263","399","1848","1020","418","48","11","41","1045","434","48","11","0","44","007","016600"
"Census Tract 178, Providence County, Rhode Island","","967","72","","26","","110","","0","","28","","104","","38","","871","5","39","23875","968","1001","288","365","317","7","24","1001","367","634","2094","1746","174","0","0","46","1792","200","20","0","0","44","007","017800"
"Census Tract 179, Providence County, Rhode Island","","1417","149","","105","","119","","38","","18","","55","","17","","1323","20","0","32448","1447","1403","389","663","241","50","60","1403","186","1217","3170","2341","507","0","60","168","2509","607","0","128","0","44","007","017900"
"Census Tract 182, Providence County, Rhode Island","","1570","155","","210","","109","","36","","110","","76","","15","","1466","0","49","52649","1580","1123","91","576","307","122","27","1123","418","705","3250","2336","330","31","385","168","2474","446","83","385","0","44","007","018200"
