Unnamed: 0,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,mhi,B08006_001E,B08201_001E,B08201_002E,B08201_003E,B08201_004E,B08201_005E,B08201_006E,B25003_001E,B25003_002E,B25003_003E,total_population_race,num_white_alone,num_baa_alone,B02001_004E,B02001_005E,B02001_008E,B02008_001E,B02009_001E,B02010_001E,B02011_001E,B02012_001E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_one_car,pct_households_two_cars,pct_households_three_cars,pct_households_four_more_cars,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,pct_white,pct_nonwhite,year,zip
0,ZCTA5,197545.0,7375,1362,35725.0,1258,36590.0,1238,31505.0,709,14845.0,585,12780.0,206,3810.0,56,1140.0,182755.0,13440.0,780.0,7005,225,0,108776.0,7916,6235,225,1507,3085,1065,353,6235,5499,736,16280,15329,127,0,425,398,15722,200,102,653,0,44,2806,26.785762711864407,27.60114503816794,23.805855161787367,20.97345132743363,26.08922198429693,59.73333333333333,88.49166245578574,2.842344618494189,3.608660785886127,24.170008019246197,49.478748997594224,17.080994386527667,5.6615878107457895,96.39133921411388,11.804330392943063,88.19566960705694,94.15847665847666,5.841523341523342,2015,02806
1,ZCTA5,440305.0,16365,2577,68480.0,2235,60605.0,1619,39770.0,696,17380.0,1027,21420.0,317,11960.0,224,5200.0,,,,16172,81,25,65521.0,16770,13084,610,4024,5215,2073,1162,13084,10304,2780,32695,31697,209,0,195,533,32124,540,129,349,49,44,2816,26.90528567063856,26.825644222776397,24.68682505399568,24.83630952380953,,,96.43410852713178,0.4830053667262969,4.662182818709875,30.755120758177927,39.85784163864262,15.84377866095995,8.881076123509631,95.33781718129012,21.247324977071237,78.75267502292877,96.94754549625326,3.05245450374675,2015,02816
2,ZCTA5,,3577,474,,529,,633,,223,,110,,80,,9,,,,,3506,29,8,73214.0,3613,2940,206,793,1366,358,217,2940,2369,571,7492,7191,121,0,89,81,7268,148,5,127,0,44,2828,,,,,,,97.03847218378078,0.8026570716855799,7.006802721088436,26.972789115646258,46.46258503401361,12.17687074829932,7.380952380952381,92.99319727891157,19.421768707482997,80.57823129251702,95.9823812066204,4.017618793379605,2015,02828
3,ZCTA5,,2580,453,,217,,330,,89,,72,,19,,51,,86075.0,-666666666.0,-666666666.0,2580,0,0,71042.0,2701,2028,145,478,873,419,113,2028,1392,636,5006,4797,93,0,42,48,4845,93,0,77,0,44,2832,,,,,33.3624031007752,-inf,95.52017771195852,0.0,7.149901380670612,23.57001972386588,43.0473372781065,20.660749506903358,5.571992110453649,92.8500986193294,31.360946745562128,68.63905325443787,95.8250099880144,4.174990011985617,2015,02832
4,ZCTA5,,1922,289,,214,,74,,66,,240,,0,,0,,,,,1906,16,0,58226.0,1995,1425,15,717,477,199,17,1425,763,662,3878,3662,145,6,0,65,3727,191,12,13,0,44,2838,,,,,,,95.53884711779448,0.8020050125313283,1.0526315789473684,50.31578947368421,33.473684210526315,13.964912280701755,1.1929824561403508,98.94736842105264,46.45614035087719,53.54385964912281,94.43011861784424,5.56988138215575,2015,02838
5,ZCTA5,465690.0,17260,2760,87580.0,2281,52515.0,2025,48065.0,1274,25680.0,1190,22520.0,360,6590.0,41,520.0,,,,16251,505,311,75362.0,17821,13362,1053,3984,5765,1796,764,13362,9920,3442,34003,32143,246,31,673,414,32476,411,92,861,0,44,2864,26.980880648899188,27.791112874429675,22.353743558654138,18.780645161290323,,,91.19016890185736,2.83373548061276,7.880556802873821,29.815895823978444,43.14473881155516,13.441101631492293,5.7177069301002845,92.1194431971262,25.759616823828768,74.24038317617124,94.5298944210805,5.470105578919507,2015,02864
6,ZCTA5,216995.0,7835,1275,36015.0,1165,27775.0,939,20235.0,340,7710.0,578,15055.0,169,3445.0,108,2330.0,,,,7702,59,37,71901.0,8076,6670,249,1888,3022,912,599,6670,5293,1377,15818,15353,133,0,51,222,15575,244,33,123,6,44,2878,27.69559668155712,26.14344262295082,21.84910086004691,24.76572958500669,,,95.3689945517583,0.7305596830113917,3.733133433283358,28.30584707646177,45.30734632683659,13.673163418290851,8.980509745127437,96.26686656671664,20.644677661169418,79.35532233883058,97.06031103805792,2.939688961942091,2015,02878
7,ZCTA5,,2257,441,,254,,158,,95,,284,,0,,76,,,,,2216,4,33,90905.0,2365,1749,0,363,901,326,159,1749,1601,148,4434,4122,73,44,1,79,4201,152,59,1,0,44,2892,,,,,,,93.69978858350952,0.1691331923890063,0.0,20.75471698113208,51.51515151515152,18.63922241280732,9.090909090909092,100.0,8.461978273299028,91.53802172670098,92.96346414073072,7.036535859269283,2015,02892
8,ZCTA5,331840.0,14587,1602,41970.0,2015,38965.0,1920,41025.0,764,11795.0,737,20560.0,329,6875.0,285,4495.0,,,,14034,316,32,49622.0,15055,12964,1201,5529,4368,1506,360,12964,6709,6255,29561,26468,713,17,1007,722,27092,1089,176,1231,74,44,2893,22.74902310276273,22.376278683992258,19.6795827123696,25.73639774859287,,,93.21819993357688,2.0989704417137163,9.264116013576055,42.64887380438137,33.69330453563715,11.616784942918851,2.776920703486578,90.73588398642394,48.2489972230793,51.75100277692071,89.536889821048,10.463110178951998,2015,02893
9,ZCTA5,444430.0,17075,1938,49725.0,1624,36995.0,1426,27920.0,637,11855.0,943,20630.0,565,10965.0,272,6900.0,397350.0,14675.0,16545.0,15306,257,841,36420.0,17513,17324,3273,7076,5073,1423,479,17324,6642,10682,41213,33523,3157,86,2782,1045,34449,3733,229,2981,0,44,2895,26.02811127379209,24.345873104997192,19.28017450315075,20.95159151193634,25.960407683261465,57.1011673151751,87.39793296408382,1.467481299606007,18.892865389055647,40.845070422535215,29.28307550219349,8.21403832833064,2.764950357885015,81.10713461094436,61.66012468252136,38.33987531747864,81.34083905563779,18.659160944362217,2015,02895
